family,genus,searched.name,count,score
Boraginaceae,Pardoglossum,Alkanna.tinctoria,362,0.220402398
Boraginaceae,Pardoglossum,Alkanna.tinctoria,362,0.220402398
Caryophyllaceae,Minuartia,Minuartia.setacea,365,0.229921318
Fabaceae,Ononis,Ononis.ornithopodioides,372,0.265970135
Leguminosae,Ononis,Ononis.ornithopodioides,372,0.265970135
Papilionaceae,Ononis,Ononis.ornithopodioides,372,0.265970135
Poaceae,Stipa,Stipa.lagascae,373,0.14538241
Euphorbiaceae,Euphorbia,Euphorbia.isatidifolia,374,0.393152329
Compositae,Aster,Aster.squamatus,378,0.155855475
Asteraceae,Symphyotrichum,Aster.squamatus,378,0.155855475
Asteraceae,Symphyotrichum,Aster.squamatus,378,0.155855475
Caprifoliaceae,Valerianella,Valerianella.echinata,408,0.210271931
Valerianaceae,Valerianella,Valerianella.echinata,408,0.210271931
Fabaceae,Onobrychis,Onobrychis.conferta,408,0.325077841
Fabaceae,Onobrychis,Onobrychis.conferta,408,0.325077841
Fabaceae,Onobrychis,Onobrychis.conferta,408,0.325077841
Leguminosae,Onobrychis,Onobrychis.conferta,408,0.325077841
Geraniaceae,Geranium,Geranium.collinum,411,0.272631039
Apiaceae,Bunium,Bunium.ferulaceum,412,0.151227333
Poaceae,Phleum,Phleum.paniculatum,414,0.164808885
Asteraceae,Cota,Cota.tinctoria,420,0.342932768
Rosaceae,Alchemilla,Alchemilla.fissa,427,0.284497565
Santalaceae,Thesium,Thesium.humile,436,0.224546806
Fabaceae,Anthyllis,Hymenocarpos.circinnatus,436,0.26529293
Fabaceae,Anthyllis,Hymenocarpos.circinnatus,436,0.26529293
Fabaceae,Hymenocarpos,Hymenocarpos.circinnatus,436,0.26529293
Leguminosae,Hymenocarpos,Hymenocarpos.circinnatus,436,0.26529293
Papilionaceae,Hymenocarpos,Hymenocarpos.circinnatus,436,0.26529293
Cyperaceae,Carex,Carex.distachya,445,0.224753186
Asparagaceae,Ornithogalum,Ornithogalum.broteroi,449,0.278350021
Apiaceae,Ferulago,Ferulago.sylvatica,454,0.251353134
Poaceae,Agrostis,Agrostis.vinealis,457,0.169246856
Compositae,Centaurea,Centaurea.salonitana,457,0.371780044
Fabaceae,Trifolium,Trifolium.globosum,461,0.208439897
Leguminosae,Trifolium,Trifolium.globosum,461,0.208439897
Caryophyllaceae,Silene,Silene.rubella,467,0.251001756
Crassulaceae,Sedum,Sedum.arenarium,473,0.421494968
Apiaceae,Bupleurum,Bupleurum.semicompositum,476,0.228979835
Rubiaceae,Asperula,Asperula.purpurea,476,0.266004485
Asteraceae,Tripleurospermum,Tripleurospermum.inodorum,479,0.30309872
Rosaceae,Alchemilla,Alchemilla.glaucescens,481,0.187964784
Poaceae,Festuca,Festuca.rupicola,483,0.106254576
Convolvulaceae,Cuscuta,Cuscuta.palaestina,485,0.179346141
Cistaceae,Fumana,Fumana.thymifolia,485,0.202336044
Saxifragaceae,Saxifraga,Saxifraga.carpetana,494,0.245778367
Asteraceae,Cynara,Cynara.cornigera,508,0.384268519
Compositae,Cynara,Cynara.cornigera,508,0.384268519
Lamiaceae,Ziziphora,Ziziphora.capitata,509,0.410166664
Rosaceae,Alchemilla,Alchemilla.coriacea,513,0.299643601
Poaceae,Psilurus,Psilurus.incurvus,516,0.112656354
Cyperaceae,Carex,Carex.hispida,517,0.1654284
Campanulaceae,Campanula,Campanula.lingulata,523,0.447488375
Rubiaceae,Galium,Galium.setaceum,527,0.266283875
Caryophyllaceae,Silene,Silene.muscipula,533,0.24458541
Compositae,Carduus,Carduus.carpetanus,533,0.34490387
Caryophyllaceae,Paronychia,Paronychia.echinulata,538,0.109098836
Caryophyllaceae,Minuartia,Minuartia.rubra,541,0.180256093
Ericaceae,Erica,Erica.spiculifolia,546,0.411946905
Apiaceae,Peucedanum,Peucedanum.palustre,566,0.134557008
Apiaceae,Thysselinum,Peucedanum.palustre,566,0.134557008
Asteraceae,Centaurea,Centaurea.hyalolepis,567,0.409773672
Compositae,Centaurea,Centaurea.hyalolepis,567,0.409773672
Fabaceae,Trifolium,Trifolium.michelianum,570,0.204881109
Leguminosae,Trifolium,Trifolium.michelianum,570,0.204881109
Caryophyllaceae,Moenchia,Moenchia.mantica,572,0.397324119
Fabaceae,Astragalus,Astragalus.stella,577,0.306210493
Poaceae,Vulpia,Vulpia.membranacea,579,0.140000778
Poaceae,Ventenata,Ventenata.dubia,581,0.157166705
Fabaceae,Medicago,Medicago.polyceratia,581,0.217457049
Fabaceae,Medicago,Medicago.polyceratia,581,0.217457049
Leguminosae,Medicago,Medicago.polyceratia,581,0.217457049
Fabaceae,Trigonella,Medicago.polyceratia,581,0.217457049
Caryophyllaceae,Herniaria,Herniaria.cinerea,601,0.2683592
Cistaceae,Cistus,Cistus.psilosepalus,602,0.217827128
Cistaceae,Cistus,Cistus.psilosepalus,602,0.217827128
Asteraceae,Carthamus,Carthamus.arborescens,602,0.478951506
Compositae,Carthamus,Carthamus.arborescens,602,0.478951506
Asteraceae,Inula,Inula.conyzae,606,0.341073511
Asteraceae,Inula,Inula.conyzae,606,0.341073511
Compositae,Inula,Inula.conyzae,606,0.341073511
Boraginaceae,Cynoglossum,Cynoglossum.montanum,616,0.300835419
Boraginaceae,Cynoglossum,Cynoglossum.montanum,616,0.300835419
Boraginaceae,Cynoglossum,Cynoglossum.montanum,616,0.300835419
Apiaceae,Dichoropetalum,Dichoropetalum.carvifolia,618,0.240081547
Brassicaceae,Alyssum,Alyssum.simplex,624,0.282276571
Brassicaceae,Biscutella,Biscutella.valentina,628,0.283083105
Fabaceae,Trifolium,Trifolium.diffusum,629,0.311776294
Leguminosae,Trifolium,Trifolium.diffusum,629,0.311776294
Asteraceae,Anthemis,Anthemis.tinctoria,630,0.152319298
Asteraceae,Cota,Anthemis.tinctoria,630,0.152319298
Asteraceae,Cota,Anthemis.tinctoria,630,0.152319298
Asteraceae,Cota,Anthemis.tinctoria,630,0.152319298
Asteraceae,Crepis,Crepis.tectorum,637,0.180402185
Fabaceae,Trifolium,Trifolium.isthmocarpum,638,0.30909062
Leguminosae,Trifolium,Trifolium.isthmocarpum,638,0.30909062
Poaceae,Aegilops,Aegilops.neglecta,638,0.330977999
Poaceae,Polypogon,Polypogon.maritimus,641,0.16966452
Cistaceae,Helianthemum,Helianthemum.aegyptiacum,644,0.295301293
Campanulaceae,Phyteuma,Phyteuma.gallicum,649,0.400594486
Lamiaceae,Sideritis,Sideritis.incana,653,0.13908199
Asteraceae,Tragopogon,Tragopogon.castellanus,654,0.250352634
Compositae,Tragopogon,Tragopogon.castellanus,654,0.250352634
Asteraceae,Filago,Filago.vulgaris,654,0.45437381
Asteraceae,Filago,Filago.vulgaris,654,0.45437381
Compositae,Filago,Filago.vulgaris,654,0.45437381
Asteraceae,Filago,Filago.vulgaris,654,0.45437381
Asteraceae,Filago,Filago.vulgaris,654,0.45437381
Asteraceae,Filago,Filago.vulgaris,654,0.45437381
Brassicaceae,Alyssum,Alyssum.desertorum,656,0.303362316
Cleomaceae,Cleome,Cleome.violacea,657,0.284908176
Fabaceae,Onobrychis,Onobrychis.argentea,663,0.354580159
Fabaceae,Onobrychis,Onobrychis.argentea,663,0.354580159
Plantaginaceae,Veronica,Veronica.praecox,664,0.2505409
Lamiaceae,Ajuga,Ajuga.laxmannii,667,0.453185922
Poaceae,Festuca,Festuca.heteromalla,673,0.17054481
Elatinaceae,Elatine,Elatine.alsinastrum,676,0.16506339
Apiaceae,Bupleurum,Bupleurum.lancifolium,680,0.321675489
Poaceae,Aira,Aira.cupaniana,681,0.309111122
Asteraceae,Volutaria,Volutaria.muricata,681,0.426833243
Compositae,Volutaria,Volutaria.muricata,681,0.426833243
Apiaceae,Oreoselinum,Peucedanum.oreoselinum,684,0.105706774
Apiaceae,Oreoselinum,Peucedanum.oreoselinum,684,0.105706774
Apiaceae,Peucedanum,Peucedanum.oreoselinum,684,0.105706774
Poaceae,Bromus,Bromus.scoparius,685,0.278154931
Fabaceae,Hippocrepis,Hippocrepis.squamata,686,0.057359361
Leguminosae,Hippocrepis,Hippocrepis.squamata,686,0.057359361
Onagraceae,Oenothera,Oenothera.rosea,699,0.318941063
Poaceae,Aegilops,Aegilops.ventricosa,708,0.286943698
Plantaginaceae,Linaria,Linaria.incarnata,710,0.302666661
Scrophulariaceae,Linaria,Linaria.incarnata,710,0.302666661
Cyperaceae,Carex,Carex.davalliana,714,0.36236076
Lamiaceae,Thymus,Thymus.membranaceus,715,0.576524501
Pyrolaceae,Moneses,Moneses.uniflora,728,0.426755579
Poaceae,Anthoxanthum,Anthoxanthum.aristatum,737,0.278590847
Poaceae,Schismus,Schismus.barbatus,743,0.196336108
